"name",code,"parish_id"
"ABEIBUTI", 2,"AKOKORO"
"ABEIGBUTI", 2,"ONGOCENG"
"ABEJA", 1,"ABEJA"
"ABEJU CENTRE", 1,"OGUSI"
"ABEKO", 1,"OGOLAI"
"ABEKU", 1,"OMBACHI"
"ABELE", 1,"MENGO WARD"
"ABELEBUKU", 1,"ALIAKAMER"
"ABELET", 1,"DOKOLO"
"ABELI", 1,"LWALA"
"ABENIKA", 1,"OMBACHI"
"ABENYO", 1,"AGWICIRI"
"ABENYO ONYA", 1,"BARDEGE"
"ABENYONYA 'A'", 1,"APYE"
"ABENYONYA 'B'", 2,"APYE"
"ABER", 2,"MEROK"
"ABER IDWOGO", 1,"ORIT"
"ABERA", 1,"PARUBANGA"
"ABERA BWOT A", 1,"OKWIR"
"ABERA BWOT B", 9,"OKWIR"
"ABERAMAIDO", 2,"ABUNGA"
"ABERAN", 2,"ALITO"
"ABERI A", 3,"RAO"
"ABERI B", 4,"RAO"
"ABERIDWOGO", 1,"AMII"
"ABERIDWOGO B", 14,"OWALO"
"ABERIDWOGO CENTRAL", 1,"ABERIDWOGO"
"ABERIMATO", 1,"APENYO"
"ABERO", 1,"AWONODWE"
"ABERO B", 2,"AWONODWE"
"ABERUMUNYU", 13,"AMORU"
"ABESO", 1,"PAJAKIRI"
"ABET", 23,"AJERIJERI"
"ABHI", 1,"OMBACHI"
"ABIA", 11,"PANGISA"
"ABIA WERA", 13,"ABIA"
"ABIBAREM", 1,"SER"
"ABIBICO", 8,"OGOLAI"
"ABIBUTI", 1,"BAR-AKALO"
"ABICELO", 1,"LOJIM"
"ABICINIA", 1,"AWEE"
"ABIEBI", 1,"YATUA"
"ABIECE", 1,"OMUGE"
"ABIEMEDI", 1,"AMAI"
"ABIL", 1,"ANGETTA"
"ABIL A", 1,"ARAMITA"
"ABIL B", 22,"ARAMITA"
"ABIL NINO", 18,"LOLIA"
"ABIL NINO NORTH", 1,"KOYA"
"ABIL NINO SOUTH", 2,"KOYA"
"ABIL-KI-WINYO EAST", 16,"PALENGA"
"ABIL-KI-WINYO WEST", 1,"PALENGA"
"ABILA", 1,"KAPUWAI"
"ABILA 'A'", 1,"APACH"
"ABILA 'B'", 2,"APACH"
"ABILAEP", 1,"ABILAEP"
"ABILAKIN", 1,"TAMULA WARD"
"ABILAMBE", 1,"ANGOL"
"ABILANGITI", 2,"AGIRIGIROI"
"ABILET", 2,"AMUSUS"
"ABILI", 1,"LABWOC"
"ABILIGALIN", 2,"OGWOLO"
"ABILIPIIN", 13,"OLWELAI"
"ABILIYEP", 1,"ABILIYEP"
"ABILNINO", 1,"KAL"
"ABILO BOMB", 1,"LIRA-KAKET"
"ABILONENI", 1,"ACANPII"
"ABILONINO", 3,"ALEMI"
"ABILONINO EAST", 1,"PABALA"
"ABILONINO WEST WARD", 2,"PABALA"
"ABILONYERO", 3,"AGWENG"
"ABILOYENGO", 4,"OCOKOBER"
"ABIM CENTER", 4,"AYALA-OYA"
"ABIM CENTRAL", 1,"WIAWER WARD"
"ABIM EAST", 9,"WIAWER WARD"
"ABIM HOSPITAL", 3,"WIAWER WARD"
"ABIM NORTH", 5,"AYALA-OYA"
"ABIM WEST", 11,"WIAWER WARD"
"ABINDI", 1,"EWADRI"
"ABINDO A", 1,"DIIMA"
"ABINDO B", 2,"DIIMA"
"ABINDU", 1,"ABINDU WARD"
"ABINEK", 2,"ACUTKUMU"
"ABINO", 2,"AKANO"
"ABINYI A", 1,"ANWANGI"
"ABINYI B", 3,"ANWANGI"
"ABINYU", 1,"LAMILA"
"ABIRA", 1,"ONZIVU"
"ABIRA ALURU", 1,"OMBACHI"
"ABIRA ETUKA", 2,"OMBACHI"
"ABIRA-BIRA A", 1,"ABIRABIRA"
"ABIRA-BIRA B", 2,"ABIRABIRA"
"ABIRI", 1,"KWILI"
"ABIRICAKU", 1,"EBWEA"
"ABIRICENDUKU", 1,"KAMULE"
"ABIRICI", 2,"ONZIVU"
"ABIRIGANGA", 1,"OKUYO"
"ABIRIJO", 2,"OMBAVU"
"ABIRIMAJO", 1,"ARINGAJOBI"
"ABIRINGA", 1,"LONGIRA"
"ABIRIVU", 1,"NYIO"
"ABIROPOO", 1,"ABUR"
"ABITIBIT", 1,"OBULEI"
"ABITING", 1,"ABIITING"
"ABIYA", 1,"AWALIWAL"
"ABOA", 1,"YAA"
"ABOBORE", 1,"TOROMA"
"ABOBOREI", 1,"ANGISA"
"ABOCHET", 1,"BUCHICHA"
"ABOCHET 'A'", 1,"ABOCHET"
"ABOCHET 'B'", 2,"ABOCHET"
"ABOI A", 1,"ATIGOLWOK"
"ABOI B", 17,"ATIGOLWOK"
"ABOIBOI", 1,"ABELA"
"ABOIBON", 2,"AGURUR"
"ABOK", 1,"GANDA"
"ABOK 'A'", 1,"BAR"
"ABOK T/C", 2,"BAR"
"ABOKATH", 1,"KOBULIN"
"ABOKE", 1,"BARODILO"
"ABOKE H/C WARD", 16,"OGWANGACUMA"
"ABOKE HIGH SCH.", 1,"AKWIRIDIDI"
"ABOKET", 7,"OCOKICAN"
"ABOKI", 1,"LOGOANGWA"
"ABOKO", 1,"AMYEL"
"ABOKODING", 1,"LIRA-KATO"
"ABOKONY", 1,"OKODO"
"ABOKORO", 11,"AWALIWAL"
"ABOLA", 1,"MUKURA"
"ABOLA A", 2,"APAPAI"
"ABOLA CENTRAL", 1,"OBUR"
"ABOLA NORTH", 2,"OBUR"
"ABOLA SOUTH", 3,"OBUR"
"ABOLA WEST", 13,"APAPAI"
"ABOLE", 1,"IBAKARA"
"ABOLET", 3,"ALEBERE"
"ABOLI", 1,"ALIDO"
"ABOLO", 6,"KAMUDA"
"ABOLO A", 1,"TEBOKE"
"ABOLO B", 10,"TEBOKE"
"ABOLO EAST", 2,"ATANA"
"ABOLO NENO", 18,"OKWERODOT"
"ABOLO WEST", 3,"ATANA"
"ABOLO-OWOO", 1,"OBUTU"
"ABOLOI", 1,"AJUKET"
"ABOLOKOMA", 1,"APOI"
"ABOLOLIL", 1,"OMEE"
"ABOLONENO", 1,"OTKWACH"
"ABOLONENO A", 1,"ALUTKOT"
"ABOLONENO B", 2,"ALUTKOT"
"ABOLONYERO", 1,"TELELA"
"ABOLOT", 5,"AKETA"
"ABOLOWO", 1,"AYAMO"
"ABONDU", 2,"ARUBAKU"
"ABONE GANG-KAL", 1,"OMONGO"
"ABONE NORTH", 2,"OMONGO"
"ABONG", 2,"ARWOT-OMITO"
"ABONG DERO", 1,"ACUT"
"ABONG REC", 3,"ABUNGA"
"ABONGAI", 1,"KARITA"
"ABONGEDERO", 1,"OYARO WARD"
"ABONGIT A", 1,"GWARAGWARA"
"ABONGIT B", 2,"GWARAGWARA"
"ABONGO", 1,"OKUNGED"
"ABONGO - OKWERE", 1,"ANGOM"
"ABONGO AMONE", 21,"ARWOT-OMITO"
"ABONGO AWOBI", 1,"OBANGA NGEO"
"ABONGO AWOBI B", 3,"ANGOM"
"ABONGO CATI", 1,"OGWETE"
"ABONGO COO", 6,"BARONGIN"
"ABONGO DYANG", 1,"OPEJAL"
"ABONGO GWENO", 1,"BAR-PII"
"ABONGO JOK", 1,"OKWERODOT"
"ABONGO KERE", 3,"ADYEDA"
"ABONGO KIKA", 1,"ANYITI"
"ABONGO KONGO", 1,"AYAGO"
"ABONGO KWOT", 2,"OKWALOAMARA"
"ABONGO LWORO 'A'", 3,"ACUT"
"ABONGO LWORO 'B'", 2,"ACUT"
"ABONGO RWOT", 1,"BALLA"
"ABONGO WOO", 1,"ALEKA"
"ABONGO-ALAM", 1,"OGET WARD"
"ABONGO-OLO", 1,"ARWOTCEK"
"ABONGO-PAPA", 12,"OKWERODOT"
"ABONGOAMONE", 3,"ABIA"
"ABONGOAWOBE", 1,"OKWANGOLE"
"ABONGOAWOBI", 1,"OCULOKORI"
"ABONGODERO", 1,"AYEOLYEC"
"ABONGODERO HILL", 23,"APURU"
"ABONGODYANG", 1,"POGI WARD"
"ABONGOIMAKI", 1,"APIIOGURO"
"ABONGOIPALE", 1,"ADWILA"
"ABONGOKERE", 1,"TAROGALI"
"ABONGOLEE", 4,"PALAMENY"
"ABONGOLWORO", 2,"AKONGOMIT"
"ABONGOMON", 3,"KABALKWERU"
"ABONGOMONE", 39,"OKII"
"ABONGONYEKE", 2,"ANGETTA"
"ABONGONYEKO", 2,"ABANGOIMANY"
"ABONGORWOT", 2,"AGANGA"
"ABONGORWOT 'A'", 2,"ACUNGI"
"ABONGORWOT 'B'", 3,"ACUNGI"
"ABONGOTOYO A", 2,"ABONGORWOT"
"ABONGOTOYO B", 3,"ABONGORWOT"
"ABONGOWAT", 2,"ADWONG-OWOR"
"ABONGOWOO", 1,"WESTERN WARD"
"ABONGRWOT", 1,"ABEDI"
"ABONGWEN", 2,"AUMI"
"ABONONYEKO", 3,"ONGOCENG"
"ABONYO OTINGERE", 2,"ADEKOKWOK"
"ABOO", 3,"OMBAVU"
"ABOO A", 2,"KAL"
"ABOO B", 4,"KAL"
"ABOR CENTRAL", 17,"ANYEKE"
"ABOR MAIN", 8,"ANYEKE"
"ABOR UPPER", 18,"ANYEKE"
"ABORADI", 1,"RAMOGI"
"ABORI A", 3,"ADEKOKWOK"
"ABORI B", 10,"ADEKOKWOK"
"ABOSAN", 1,"ABUBUR"
"ABOT", 3,"PABALA"
"ABOTA", 1,"ALERE"
"ABOTA A", 1,"LABIRA"
"ABOTA B", 4,"LABIRA"
"ABU", 1,"DUKU"
"ABUA", 1,"LALLE"
"ABUABURA", 2,"AGWENG"
"ABUBON", 5,"ADAL"
"ABUBUR", 2,"ABUBUR"
"ABUDAMA ' B'", 2,"KUNGU"
"ABUDAMA 'A'", 1,"KUNGU"
"ABUDERE", 1,"PAJIMO"
"ABUGA", 1,"PATUDA"
"ABUGE", 1,"ABEDMOT"
"ABUGOA", 2,"OMBACHI"
"ABUJE", 2,"ADAGNYEKO"
"ABUK", 4,"OYARO WARD"
"ABUKA", 7,"GEM"
"ABUKA 'A'", 1,"ADEL-LOGO"
"ABUKA 'B'", 2,"ADEL-LOGO"
"ABUKET", 12,"ABWANGET"
"ABUKI", 2,"IGULI"
"ABUKOMU", 1,"NDARA"
"ABUKU", 15,"NYORICHEKU"
"ABUKU A", 11,"ALEMI"
"ABUKU B", 12,"ALEMI"
"ABULE", 1,"KATINE"
"ABULE A", 2,"APARISA"
"ABULE B", 6,"APARISA"
"ABULI", 4,"ATANA"
"ABULI ABULA", 1,"ABULI"
"ABULIO", 1,"NARENGENYA"
"ABULU", 1,"OLUPE"
"ABULU BULU", 14,"ANWANGI"
"ABULU MOGO", 8,"APOBO"
"ABULUBULU", 1,"ONYWAKO"
"ABULUKWANG", 1,"GUDA"
"ABULULU", 1,"OKIDI"
"ABULULYEC", 27,"ALONI"
"ABULUMOGO", 2,"KIDILANI"
"ABUM", 17,"LWALA"
"ABUNG DUTA", 15,"ALUTKOT"
"ABUNG GENGA", 2,"AKWIRIDIDI"
"ABUNG-GENGA 'A'", 1,"BARROGANDA"
"ABUNG-GENGA 'B'", 2,"BARROGANDA"
"ABUNGA", 2,"ONGICA"
"ABUNGGENGA", 2,"APIIOGURO"
"ABUNGURU", 1,"ALOLOLOLO"
"ABUNIA", 1,"ODOI"
"ABUNYI", 1,"ATABU"
"ABUR", 2,"ABEJA"
"ABUR KEC", 2,"ANYWALI"
"ABUR OTIGO", 3,"ADONYIMO"
"ABUR WARD", 14,"ABUR"
"ABURA", 1,"AORNGA"
"ABURA ATWONTYELO", 2,"ARAMITA"
"ABURA B", 13,"OWALO"
"ABURA BUNG", 3,"ARAMITA"
"ABURA CYLON", 23,"ACUT"
"ABURA CYLON B", 27,"ACUT"
"ABURAMWONYA", 1,"PARAK"
"ABURCERO", 1,"ABURCERO"
"ABURENGA", 2,"NYAJO"
"ABURET", 14,"OLEKAT"
"ABURI", 1,"OSIA"
"ABURI A", 1,"KAYORO"
"ABURI B", 2,"KAYORO"
"ABURI C", 3,"KAYORO"
"ABURKIDI", 1,"ABURKIDI"
"ABURKOT", 1,"KAGAA"
"ABUROSINGE", 1,"KATAKWI"
"ABURU", 2,"AORNGA"
"ABURUKANGO", 1,"ETEKOBER"
"ABURUKEC", 2,"ETEKOBER"
"ABUTABER", 1,"CHEGERE"
"ABUTANNULA", 1,"NALUWOLI"
"ABUTATARO A", 1,"ALEMERE"
"ABUTI", 1,"ATONGTIDI"
"ABUTO ADII", 1,"ATEK"
"ABUTO CILO", 3,"AKWIRIDIDI"
"ABUTOADI", 4,"ABUTADI"
"ABUTOIKWE", 2,"EASTERN WARD"
"ABUTURU", 1,"GEM"
"ABWA", 1,"AYUNI"
"ABWAL", 4,"OTKWACH"
"ABWAL A", 2,"ONGICA"
"ABWAL B", 3,"ONGICA"
"ABWANGET", 1,"OSUKURU"
"ABWEL", 1,"MWELO"
"ABWEL WEST", 15,"MWELO"
"ABWOBE", 25,"PAGWOK"
"ABWOC", 3,"OTENO"
"ABWOC 'B'", 2,"ABEDMOT"
"ABWOC YIKEC", 1,"ATOMORO"
"ABWOCCOL", 1,"AWIODYEK"
"ABWOCKWAR", 2,"ABWOCKWAR"
"ABWOKODIA", 1,"ABWOKODIA"
"ABWOLOIT", 3,"OGWOLO"
"ABWONAOTANGA", 2,"AMUNGA"
"ABWONG", 1,"AJAR"
"ABWONG A", 1,"ADYAKA"
"ABWONG B", 2,"ADYAKA"
"ABWONGDANI", 1,"ABWONG"
"ABWONGIPINY", 2,"ABWONG"
"ABWOR", 1,"APURU"
"ABWOR OJEM", 1,"AMOYAI"
"ABWOROYERE", 2,"OLAROKWON"
"ABYANEK A", 1,"OKOMO"
"ABYANEK B", 2,"OKOMO"
"ABYEBA", 1,"OPATE"
"ABYECE", 3,"ACANPII"
"ABYEE", 1,"AGWARYUGI"
"ABYEMWONYI", 1,"AMOKOGEE"
"ABYENEK", 1,"OTORO"
"ACABA", 3,"AMAI"
"ACABOI-ODUKURUN", 3,"AWOJA"
"ACADEMY CELL", 1,"AWINDIRI"
"ACAE OGIK", 2,"AWORI"
"ACAE-OGIK", 2,"AMONONENO"
"ACAEOGIK", 2,"OKWERODOT"
"ACAKE TE KULU", 3,"LELAKOT"
"ACAKE-TE-KULU", 25,"ADEL-LOGO"
"ACALAWAI FOREST", 26,"AKOBI"
"ACALAWAYI", 2,"AKOBI"
"ACAM", 3,"OCULOI"
"ACAM WING", 19,"APUA"
"ACAMANONO", 2,"ANAMWANY"
"ACAMCABU", 2,"OGWIL"
"ACAMCUTU", 2,"AWIODYEK"
"ACAMIDAKO", 2,"SWAGERE"
"ACAMO CENTRAL", 10,"OTONG"
"ACAMO LAKI", 1,"AGULURUDE"
"ACAMO-GOMA", 1,"NGOTO"
"ACAMO-OGALI", 2,"ARIDI"
"ACAMOLING", 1,"PAIBWOR"
"ACAMOREME", 2,"OMARARI"
"ACAMROMA", 2,"OKILE"
"ACAMUKECH", 2,"ABIRA WEST WARD"
"ACAN ADIRO", 3,"AKOR"
"ACAN AKWO", 2,"AGWAR"
"ACAN DEK PE", 4,"ATIGOLWOK"
"ACAN DOLE", 1,"OPALI"
"ACAN DYANG", 4,"ANYWALI"
"ACAN DYANG A", 1,"ANERALIBI"
"ACAN DYANG B", 2,"ANERALIBI"
"ACAN DYEL", 3,"ALEKA"
"ACAN GWENO", 4,"ABURCERO"
"ACAN KOMA", 4,"ADYEDA"
"ACAN KWETE", 5,"ALEKA"
"ACAN KWO ILWETE", 3,"ITUBARA"
"ACAN MAK KWERI", 1,"ALOBO-OKWE"
"ACAN MAKWERI", 2,"AGULURUDE"
"ACAN OBWOTO", 2,"OLURO"
"ACAN OLENGE", 1,"ADWOA"
"ACAN ONGENE", 2,"OGWETE"
"ACAN ORYEMA", 2,"OTIRA"
"ACAN OWILO", 1,"TETUGO"
"ACAN PEWINYO ABWOTE", 3,"OKWALOAMARA"
"ACAN PII", 1,"ALARO"
"ACAN YIE WANG", 1,"ADEL"
"ACAN-LING", 2,"ANYOMOLYEC"
"ACANA", 1,"FUALWONGA"
"ACANAKWO A", 1,"ALER"
"ACANAKWO B", 3,"ALER"
"ACANANUMU", 2,"ATONGTIDI"
"ACANATAA", 1,"ANARA"
"ACANATIN", 2,"ABENYO"
"ACANCILING", 2,"ADWILA"
"ACANDANO", 2,"AMII"
"ACANDEK", 1,"ABOKO"
"ACANDIANG", 1,"OBULE"
"ACANDYANG", 1,"OLILO"
"ACANDYANG 'A'", 2,"ABEDI"
"ACANDYANG 'B'", 3,"ABEDI"
"ACANDYEL", 7,"OTKWACH"
"ACANGA", 1,"AMERO"
"ACANGWENO", 1,"ADAGNYEKO"
"ACANKADO A", 1,"APALA"
"ACANKADO B", 2,"APALA"
"ACANKANYO", 1,"KIKONDO"
"ACANKONGO", 3,"ADYAKA"
"ACANKUMI 'A'", 1,"BANYA"
"ACANKUMI 'B'", 2,"BANYA"
"ACANKWETE", 6,"OKOMO"
"ACANKWETTE", 1,"WIRAO"
"ACANMAC", 2,"EASTERN WARD"
"ACANMAKKWERI", 4,"ACUTKUMU"
"ACANMWOL", 9,"LWALA"
"ACANO EAST", 1,"OTONG"
"ACANO WEST", 2,"OTONG"
"ACANOJER", 7,"AYALA-OYA"
"ACANOKUN", 3,"OPALI"
"ACANOKUN A", 2,"OLOLANGO"
"ACANOKUN B", 1,"OLOLANGO"
"ACANONYOMO", 4,"ALENGA"
"ACANOWE", 5,"OTKWACH"
"ACANPANY", 2,"OMOLADYANG"
"ACANPENINO", 1,"KULODWONG"
"ACANPII", 2,"ADYANG"
"ACANPII A", 5,"ACANPII"
"ACANTOIPUR", 2,"OTARA"
"ACANYENG OTYENO", 1,"AWILA"
"ACANYIBI", 6,"ALENGA"
"ACAPA", 1,"MUKONGORO"
"ACAPADEL", 3,"ANYOMOLYEC"
"ACAPII B", 2,"ACANPII"
"ACARAWANG - SOUTH", 12,"OPOROTH"
"ACARAWANG CENTRAL", 1,"OPOROTH"
"ACARAWANG EAST", 2,"OPOROTH"
"ACARAWANG WEST", 3,"OPOROTH"
"ACATO BUNG", 14,"BALLA"
"ACATO GUDU", 2,"BALLA"
"ACEDAPEL", 1,"AKUM"
"ACEDE", 4,"ABUNGA"
"ACEDEADWONG", 22,"ACEDE"
"ACEGELEKINEI", 1,"KAIKAMOSING"
"ACEGEREKUMA", 1,"KAPELEBYONG"
"ACEGI", 3,"ABEDMOT"
"ACEK", 1,"ARWOTNGO"
"ACEK KENE", 2,"APWOR"
"ACEK LEYE", 2,"ATEKOBER"
"ACEKE LAT", 4,"AKWIRIDIDI"
"ACEKE LATI", 2,"ARIBA"
"ACEKELAT", 4,"ARWOT-OMITO"
"ACEKELATI", 3,"TE-OBURU"
"ACEKELEYE", 1,"OGWANGACUMA"
"ACEKENE", 1,"ATIK"
"ACEKITOYO", 2,"KAGAA"
"ACEKKENE", 1,"AKURA"
"ACEKWERE 'A'", 4,"OMACH"
"ACEKWERE 'B'", 5,"OMACH"
"ACELA", 1,"OTWEOTOKE"
"ACELE", 12,"OKUDE"
"ACELE A", 1,"AYOLA"
"ACELE B", 5,"AYOLA"
"ACELEL", 1,"TOKORA"
"ACELELA", 2,"ACELELA"
"ACELIDWEE", 8,"BANGLADESH"
"ACEN KONGO", 3,"OMWONYLEE"
"ACENGLYET", 2,"AYEOLYEC"
"ACENGORYEMA", 10,"AWIKORI"
"ACENGRYENY", 2,"CENTRAL WARD"
"ACENLWORO A", 2,"ADAGMON"
"ACENLWORO B", 1,"NOTHERN WARD"
"ACER", 2,"POKWERO"
"ACERA", 1,"TISAI ISLAND"
"ACERICANI", 2,"AMORIGOGA"
"ACERMENY", 1,"ATANGWATA"
"ACERO", 3,"AGULURUDE"
"ACERO 'A'", 2,"OGWANGACUMA"
"ACERO 'B'", 3,"OGWANGACUMA"
"ACEROBUNG", 16,"AGULURUDE"
"ACET", 16,"LWALA"
"ACET CENTRAL", 1,"BINYA"
"ACET DYEL", 2,"APURU"
"ACET OTWO", 2,"MYENE"
"ACET-ANGOROM", 1,"LWALA"
"ACETGWEN", 1,"ACETGWEN"
"ACHA", 2,"YACHI"
"ACHAA", 1,"BANDILI"
"ACHANA", 1,"PAGWATA"
"ACHANGA", 1,"AAKUM"
"ACHARAETHE", 7,"OYARO WARD"
"ACHARAETHE EAST", 3,"OYARO WARD"
"ACHIBA", 1,"MECHU"
"ACHILA", 1,"ATEN"
"ACHILET", 6,"KALAIT"
"ACHILET A", 1,"NYANGOLE"
"ACHILET B", 2,"NYANGOLE"
"ACHILET C", 3,"NYANGOLE"
"ACHILET D", 4,"NYANGOLE"
"ACHIMARI CENTRAL", 1,"EWAFA"
"ACHIMARI EAST", 2,"EWAFA"
"ACHIMARI WEST", 3,"EWAFA"
"ACHOLA", 2,"OPEJAL"
"ACHOLI - INN", 1,"RUPA"
"ACHOLI DUMU", 2,"BAR-PII"
"ACHOLI INN", 3,"KUNGU"
"ACHOLI NYEK", 10,"OLUNG"
"ACHOLI QUARTER", 1,"ERAMVA"
"ACHOLI QUARTERS", 1,"KOTIDO EAST WARD"
"ACHOLINYEK", 2,"AMYEL"
"ACHOLINYEK CENTRAL", 11,"OLUNG"
"ACHORICHO-KO/LOMERAI", 1,"ACHORICHOR"
"ACHORICHOR/BABATIAN", 2,"ACHORICHOR"
"ACHORO", 1,"OLIRI"
"ACHU", 1,"JUPADINDO"
"ACHUBU", 1,"ORIBU"
"ACHUKUL", 2,"MUSAS"
"ACHUNA", 1,"ACHUNA"
"ACHUNAT", 1,"OSOPOTOIT"
"ACHUNGA", 2,"AMBELECHU"
"ACHURURU", 14,"KATAJULA"
"ACIA", 1,"APEDURU"
"ACIANUKU", 3,"OMGBOKOLO"
"ACIBA", 1,"OMOO"
"ACIBO", 1,"MBARO EAST"
"ACIDA", 4,"OGWOLO"
"ACIDRAKU", 1,"ANIPI"
"ACII", 1,"AGWENONYWAL"
"ACIISA", 1,"ACIISA"
"ACILERI", 4,"PAMPARA WARD"
"ACILKOM", 2,"AGWICIRI"
"ACILO", 2,"ALENGO"
"ACILO A", 2,"ACANPI"
"ACILO B", 3,"ACANPI"
"ACIMI A", 3,"ACIMI"
"ACIMI B", 5,"ACIMI"
"ACIMI CENTRAL", 1,"ACIMI"
"ACINANGA", 1,"ALWOROCENG"
"ACINGA", 14,"OUSIA"
"ACIRO", 1,"PAKIA"
"ACIVU", 1,"NYIOVURA"
"ACO OBEDO", 1,"CHWAGERE"
"ACO OTEDO", 4,"OKWERODOT"
"ACO PE BWONE", 16,"ALUTKOT"
"ACO PE CEMO IMON", 5,"AKWIRIDIDI"
"ACOBAGWENO", 1,"AJOK"
"ACOBANOK", 1,"AYABI"
"ACOBATEK", 2,"AYABI"
"ACODE", 2,"ABUNGA"
"ACODO", 2,"OKUNGED"
"ACOGE", 2,"ALARO"
"ACOGO GWAA", 8,"ODONGKIWINYO"
"ACOGODANO", 2,"AYUNI"
"ACOITE", 1,"ODOOT"
"ACOK", 2,"UDUKA"
"ACOK A", 3,"BARODILO"
"ACOK B", 9,"BARODILO"
"ACOKAOLA", 3,"AORNGA"
"ACOKARA 'A'", 2,"ACOKARA"
