"name",code,"subcounty_id"
"AKALABAI", 80,"ATUTUR"
"AKALALE", 4,"LOKOPO"
"AKALI", 3,"ABONGOMOLA"
"AKANGI", 10,"OGUR"
"AKANO", 11,"OGUR"
"AKARA", 20,"MUCHWINI"
"AKARUKEI", 34,"KAPIR"
"AKAYA", 44,"KEI"
"AKAYANJA", 26,"KANYARYERU"
"AKEIT", 53,"MUKURA"
"AKERE", 9,"APAC"
"AKERIAU", 18,"ORUNGO"
"AKERO", 31,"BUKEDEA"
"AKETA", 30,"ONGONGOJA"
"AKETO", 21,"IBUJE"
"AKIA", 2,"ADEKOKWOK"
"AKIBUI", 1,"ATUTUR"
"AKIDE", 38,"ONGINO"
"AKILENG", 22,"OBALANGA"
"AKINIO", 28,"URIAMA"
"AKISIM", 3,"KAPIR"
"AKISIM WARD", 1,"EASTERN"
"AKOBI", 46,"OMIYA-ANYIMA"
"AKOBOI", 13,"SERERE/OLIO"
"AKODOKODOI", 29,"OBALANGA"
"AKOKORO", 3,"AKOKORO"
"AKOL", 8,"ARWOTCEK"
"AKOLODONG", 44,"AMWOMA"
"AKOLODONG WARD", 29,"MALABA TOWN COUNCIL"
"AKOMO WARD", 80,"PATONGO TOWN COUNCIL"
"AKONGOMIT", 9,"AWELLO"
"AKOR", 20,"OGUR"
"AKORE", 41,"MORUNGATUNY"
"AKOROMIT", 2,"ACOWA"
"AKUBUI", 17,"MUKURA"
"AKUCA", 11,"NGAI"
"AKUM", 60,"KUJU"
"AKUMOI", 17,"PINGIRE"
"AKUORO", 1,"BUKEDEA"
"AKURA", 7,"AKURA"
"AKURAO", 22,"TOROMA"
"AKURILUBA", 51,"APUTI"
"AKUROLANGO", 22,"KANGAI"
"AKURUMO", 29,"OROM"
"AKUYAM", 1,"KAKOMONGOLE"
"AKWAMORU", 2,"CHELEKURA"
"AKWANGA", 10,"OKWALONGWEN"
"AKWANGAGWEL", 30,"MORULEM"
"AKWANGKEL", 10,"ALOI"
"AKWIRIDIDI", 5,"ABOKE"
"AKWON", 3,"AKWON"
"AKWORO", 50,"LABONGO-AMIDA"
"AKWOYO WARD", 23,"ADYEL"
"ALAA WARD", 41,"MARACHA TOWN COUNCIL"
"ALAI WARD", 23,"OTUKE TOWN COUNCIL"
"ALAL", 8,"ALOI"
"ALALAM", 26,"GREEK RIVER"
"ALANGI", 14,"ORUM"
"ALANGO", 1,"ADWARI"
"ALANGO WARD", 7,"KITGUM TOWN COUNCIL"
"ALANYI", 2,"ABAKO"
"ALAPATA", 11,"BATTA"
"ALARAPI", 34,"YIVU"
"ALARO", 24,"AKOKORO"
"ALEBERE", 17,"BARR"
"ALEBTONG", 9,"ALOI"
"ALEKA", 35,"ALEKA"
"ALELA", 65,"ARUM"
"ALELES", 6,"KATAKWI"
"ALEM WARD", 17,"KABERAMAIDO TOWN COUNCIL"
"ALEMERE", 15,"AGWINGIRI"
"ALEMI", 18,"AYER"
"ALENGA", 13,"DOKOLO"
"ALENGO", 1,"ATIIRA"
"ALER", 22,"OGUR"
"ALERE", 36,"PACHARA"
"ALIA", 26,"AII-VU/AJIVU"
"ALIAKAMER", 7,"KATAKWI"
"ALIAPI", 11,"KULULU"
"ALIBA", 8,"AROI"
"ALIBI", 21,"ALEKA"
"ALIDI", 19,"LORO"
"ALIDO", 19,"CAWENTE"
"ALIGOI", 69,"NYERO"
"ALINGA", 45,"KURU"
"ALIRA", 2,"ADUKU"
"ALIRA WARD", 34,"AMURIA TOWN COUNCIL"
"ALIRIBU", 17,"LOBULE"
"ALITO", 11,"ALITO"
"ALITO CAMP", 9,"OJWINA"
"ALIVU", 9,"AROI"
"ALLA", 23,"DRANYA"
"ALOBO-OKWE", 38,"AGIKDAK"
"ALOET", 1,"ARAPAI"
"ALOGOOK", 47,"KATAKWI"
"ALOKOLUM", 24,"ONGAKO"
"ALOLOLOLO", 25,"OMORO"
"ALOMAN", 27,"KAPTUM"
"ALONI", 7,"ICHEME"
"ALUBE", 42,"KANGO"
"ALUKA", 29,"INOMO"
"ALUKUCOK", 8,"KATAKWI"
"ALUPE", 23,"OBALANGA"
"ALUPERE WARD", 49,"KALONGO TOWN COUNCIL"
"ALURU", 8,"MOYO"
"ALUTI", 45,"OKWALONGWEN"
"ALUTKOT", 16,"LORO"
"ALWALA", 23,"OGUR"
"ALWORO", 23,"AMACH"
"ALWOROCENG", 23,"IBUJE"
"ALYEC WARD", 1,"ALEBTONG TOWN COUNCIL"
"ALYECJUK", 46,"AGWATTA"
"ALYECMEDA", 16,"AGWINGIRI"
"ALYET", 27,"AGALI"
"AMAGORO A", 1,"TORORO EASTERN"
"AMAGORO B", 2,"TORORO EASTERN"
"AMAGORO WARD", 30,"MALABA TOWN COUNCIL"
"AMAI", 52,"APUTI"
"AMANANG", 1,"BUKWA"
"AMANIPI", 36,"YIVU"
"AMANYIRI WARD", 47,"YUMBE TOWN COUNCIL"
"AMAR", 15,"KOCH-GOMA"
"AMASENIKO", 8,"KAPELEBYONG"
"AMBALA", 48,"KEI"
"AMBEKO", 49,"OLUKO"
"AMBELE", 43,"KANGO"
"AMBELECHU", 49,"ODRAVU"
"AMBIDRO", 1,"KIJOMORO"
"AMEI", 44,"PAIDHA"
"AMEJEI", 55,"KUMI"
"AMEMIA", 19,"KAPELEBYONG"
"AMEN", 22,"SOROTI"
"AMERO", 4,"ACOWA"
"AMII", 22,"IBUJE"
"AMILIMIL", 13,"KUJU"
"AMILO", 25,"IBUJE"
"AMINIT", 14,"KAMUDA"
"AMINITO", 18,"ACOWA"
"AMIRIMIRI WARD", 39,"AMOLATAR TOWN COUNCIL"
"AMOILELA", 36,"BALLA"
"AMOKOGEE", 29,"AMACH"
"AMOLATAR", 40,"AGWINGIRI"
"AMOLO", 26,"WERA"
"AMONEKAKINEI", 29,"BUTEBA"
"AMONI", 1,"MELLA"
"AMONOLOCO", 47,"ADOK"
"AMONOMITO", 42,"APALA"
"AMONONENO", 3,"ABAKO"
"AMOOTOM", 14,"OBALANGA"
"AMOR EAST WARD", 2,"PAKWACH TOWN COUNCIL"
"AMOR WEST WARD", 20,"PAKWACH TOWN COUNCIL"
"AMORIGOGA", 26,"ABONGOMOLA"
"AMORU", 28,"ARAPAI"
"AMOYAI", 5,"OKWANG"
"AMOYOKOMA WARD", 32,"AMURU TOWN COUNCIL"
"AMUCA", 6,"LIRA"
"AMUCU", 6,"ASAMUK"
"AMUDA", 4,"AGWATTA"
"AMUDAT", 1,"AMUDAT"
"AMUGE", 29,"ALITO"
"AMUKOL", 8,"KASEREM"
"AMUKUGUNGU", 18,"OTWAL"
"AMUN", 27,"AKOKORO"
"AMUNAMUM", 48,"ADOK"
"AMUNGA", 9,"OLILIM"
"AMURIA", 34,"ALOI"
"AMURWO", 22,"MERIKIT"
"AMUS", 8,"KACHUMBALA"
"AMUSIA", 23,"OMODOI"
"AMUSUS", 14,"KUJU"
"AMWA", 3,"MYENE"
"AMWOMA", 18,"AMWOMA"
"AMYEL", 6,"LAPONO"
"ANAI", 19,"LIRA"
"ANAKA", 38,"PALABEK-GEM"
"ANAMIDO", 10,"ETAM"
"ANAMWANY", 11,"AWELLO"
"ANANGOGWEC", 49,"DOKOLO"
"ANARA", 11,"ALOI"
"ANAVU", 14,"KATRINI"
"ANDIBO", 26,"PANYANGO"
"ANEPKIDE", 10,"OLILIM"
"ANEPMOROTO", 15,"ORUM"
"ANERALIBI", 25,"OKWONGODUL"
"ANGAL LOWER", 38,"NYARAVUR"
"ANGAL UPPER", 24,"NYARAVUR"
"ANGANGAM", 48,"KOLIR"
"ANGAR", 10,"KANGO"
"ANGAYA", 16,"UNYAMA"
"ANGAZI", 15,"OMUGO"
"ANGEREPO", 28,"ACOWA"
"ANGETTA", 11,"OLILIM"
"ANGIC", 37,"BALLA"
"ANGISA", 52,"MAGORO"
"ANGOD", 55,"NGORA"
"ANGODI", 50,"GOGONYO"
"ANGODINGOD", 24,"OMODOI"
"ANGOL", 1,"ATYAK"
"ANGOLE", 26,"AWERE"
"ANGOLEBWAL", 5,"ACOWA"
"ANGOLOCOM", 12,"AGWENG"
"ANGOLTOK", 35,"ABAKO"
"ANGOM", 24,"ICHEME"
"ANGWENYA", 23,"KANGAI"
"ANGWETA", 25,"ICHEME"
"ANGWETANGWET", 26,"ADEKOKWOK"
"ANINATA", 25,"ABIM"
"ANIPI", 48,"OLUKO"
"ANWANGI", 12,"NAMBIESO"
"ANYACOTO", 50,"OKWONGODUL"
"ANYALAM", 14,"OCHERO"
"ANYALIMA", 20,"OGOR"
"ANYANGA", 12,"AKURA"
"ANYANGA B", 36,"AKURA"
"ANYANGAPUC", 3,"NGETTA"
"ANYARA", 1,"ADUMI"
"ANYAVU", 9,"LOGIRI"
"ANYEKE", 4,"ACHABA"
"ANYITI", 37,"ABAKO"
"ANYIVU", 37,"TARA"
"ANYOLA", 2,"ATYAK"
"ANYOMOLYEC", 36,"OTWAL"
"ANYOMOREM", 4,"NGETTA"
"ANYUFIRA", 16,"OMUGO"
"ANYWALI", 4,"APUTI"
"ANZU", 35,"AYIVUNI"
"ANZUU", 15,"VURRA"
"AOJAKITOI", 61,"KUJU"
"AORNGA", 11,"NAMBIESO"
"APA WARD", 25,"KOBOKO TOWN COUNCIL"
"APACH", 4,"ABOKE"
"APADO WARD", 2,"ALEBTONG TOWN COUNCIL"
"APALA", 15,"ALITO"
"APALE PE WARD", 31,"AMOLATAR TOWN COUNCIL"
"APAMA", 59,"NGORA"
"APANYLONGO", 28,"AGALI"
"APAPA", 14,"OLOK"
"APAPAI", 82,"ATUTUR"
"APARISA", 25,"TUBUR"
"APEDURU", 53,"ASAMUK"
"APEITOLIM", 5,"LOKOPO"
"APEITOLIM RESETTLEMENT", 30,"LOKOPO"
"APENYANG", 28,"KWERA"
"APENYO", 51,"BATTA"
"APENYOWEO", 27,"OKWONGODUL"
"APERIKIRA", 20,"APERIKIRA"
"APIIOGURO", 34,"ALITO"
"APIRE", 25,"ADUKU"
"APOBO", 47,"KOTOMOR"
"APOI", 2,"AKOKORO"
"APOKA", 13,"OGUR"
"APOKOR", 2,"MELLA"
"APOPONG", 6,"APOPONG"
"APUA", 1,"AROMO"
"APUCE", 2,"AROMO"
"APURU", 2,"ABOKE"
"APUTON", 45,"ATUTUR"
"APUUTON", 41,"TOROMA"
"APWOR", 15,"PURANGA"
"APYE", 52,"ADOK"
"APYETA", 42,"OGILI"
"ARABAKA", 27,"ARAPAI"
"ARALAM", 64,"RIWO"
"ARAMITA", 10,"NGAI"
"ARANGA", 50,"APO"
"ARAPAI", 2,"ARAPAI"
"ARARA", 25,"ULEPPI"
"ARARAK WARD", 18,"KABERAMAIDO TOWN COUNCIL"
"ARASI", 45,"ARINYAPI"
"AREMBWOLA", 22,"ABIM"
"AREMO", 15,"MORULEM"
"ARIA", 37,"APO"
"ARIBA", 28,"ABOK"
"ARIDAI", 25,"OBALANGA"
"ARIDI", 53,"ADEKNINO"
"ARIET", 52,"MUKURA"
"ARIGUYI WARD", 51,"YUMBE TOWN COUNCIL"
"ARINGA", 27,"PURANGA"
"ARINGAJOBI", 12,"ALIBA"
"ARIPIA", 2,"AII-VU/AJIVU"
"ARIVU", 18,"DADAMU"
"ARIWARA", 17,"DADAMU"
"AROI", 22,"YIVU"
"AROMI", 42,"AKWON"
"ARRA", 16,"DUFILE"
"ARUBAKU", 93,"DRAJINI/ARAJIM"
"ARUNGA WARD", 41,"YUMBE TOWN COUNCIL"
"ARUTE", 36,"ABARILELA"
"ARWOT", 43,"ETAM"
"ARWOT-OMITO", 3,"AROMO"
"ARWOTCEK", 12,"ARWOTCEK"
"ARWOTNGO", 6,"OKWANG"
"ASAMUK", 5,"ASAMUK"
"ASILANG", 37,"ABARILELA"
"ASINA", 37,"ABANGA"
"ASINGE", 58,"KUMI"
"ASINGE WARD", 31,"MALABA TOWN COUNCIL"
"ASUNGA", 29,"MIDIA"
"ASURET", 44,"OMODOI"
"ASWII", 16,"LABOR"
"ATABU", 12,"BATTA"
"ATANA", 10,"APAC"
"ATANGWATA", 16,"OGOR"
"ATAPAR", 4,"KAPIR"
"ATECE", 15,"OMOT"
"ATEGO", 23,"MINAKULU"
"ATEK", 4,"MINAKULU"
"ATEKOBER", 2,"ACHABA"
"ATEN", 48,"WERA"
"ATERAI", 46,"ATUTUR"
"ATERO", 49,"AWELLO"
"ATIABAR", 6,"BUNGATIRA"
"ATIGOLWOK", 16,"CHEGERE"
"ATIIRA", 20,"KAPELEBYONG"
"ATIK", 7,"APAC"
"ATING", 17,"ORUM"
"ATINKOK", 21,"ABIA"
"ATIRA", 12,"OLILIM"
"ATIRI", 12,"MUKUJU"
"ATIRIR", 8,"ASAMUK"
"ATO", 32,"LAPUL"
"ATOMORO", 44,"AWELLO"
"ATONGTIDI", 16,"CAWENTE"
"ATOOT", 11,"KOBWIN"
"ATOPI", 8,"APAC"
"ATULE", 18,"CAWENTE"
"ATUNGA", 1,"ABIM"
"ATURA", 9,"ABER"
"ATUT", 70,"WOL"
"ATUTUR", 3,"ATUTUR"
"ATYAK", 5,"PAKWACH"
"AUKOT", 9,"GWERI"
"AUMI", 26,"BALLA"
"AUNGA", 33,"DRANYA"
"AUNGU", 6,"ICHEME"
"AUPI", 1,"DRAJINI/ARAJIM"
"AVOGERA", 11,"NGWEDO"
"AWACH", 7,"LOTUKEI"
"AWALIWAL", 10,"GWERI"
"AWAPINY", 4,"ABAKO"
"AWEE", 50,"LATANYA"
"AWEIPEKO", 55,"NAMASALE"
"AWELO", 24,"ADEKNINO"
"AWELU", 42,"MORUNGATUNY"
"AWIEPEK", 30,"ALOI"
"AWIKA", 6,"ARIVU"
"AWIKORI", 56,"NAMASALE"
"AWILA", 4,"AKOKORO"
"AWINDIRI", 1,"ARUA HILL"
"AWINGA", 59,"ARIWA"
"AWIO", 5,"ICHEME"
"AWIODYEK", 45,"ETAM"
"AWIRI", 14,"DOKOLO"
"AWOBA", 5,"KEI"
"AWOJA", 31,"GWERI"
"AWONANGIRO", 5,"AGIKDAK"
"AWONODWE", 57,"OMOT"
"AWORI", 38,"AWEI"
"AWUVU", 13,"RHINO CAMP"
"AYAA", 2,"AJIA"
"AYAA-YIA", 28,"AJIA"
"AYABI", 10,"NAMBIESO"
"AYACH", 22,"AMACH"
"AYAGO", 1,"AKOKORO"
"AYAKA", 31,"ZEU"
"AYALA-OYA", 12,"ALITO"
"AYAMO", 38,"ALITO"
"AYARA", 16,"ALITO"
"AYAVU", 6,"OGOKO"
"AYEOLYEC", 5,"AKOKORO"
"AYIKO", 13,"OLUVU"
"AYIKO WARD", 42,"MARACHA TOWN COUNCIL"
"AYILA", 19,"ALWI"
"AYIPE", 1,"KULUBA"
"AYIRA", 18,"BARR"
"AYIRI", 38,"UKUSIJONI"
"AYIRO", 24,"METU"
"AYOLA", 43,"MORUNGATUNY"
"AYUNI", 54,"KANGAI"
"AYURI", 25,"AII-VU/AJIVU"
"AYUU", 34,"ANYIRIBU"
"AYUU ALALI", 41,"PALABEK-KAL"
"AZAAPI", 21,"ODUPI"
"BACERE", 11,"OFUA"
"BAITO", 9,"OKOLLO"
"BAJJA WARD", 17,"LUKAYA TOWN COUNCIL"
"BAJJO", 19,"NYIMBWA"
"BAKA", 11,"MENDE"
"BAKIJJULULA", 16,"KYAMULIBWA"
"BAKIJULULA", 20,"BULERA"
"BALABALA", 26,"BUSSI"
"BALAWOLI", 1,"BALAWOLI"
"BALISANGA", 26,"KAYONZA"
"BALLA", 25,"BALLA"
"BAMBULA", 11,"KIKANDWA"
"BAMUGOLODDE", 1,"BUTUNTUMULA"
"BAMURE", 39,"LUDARA"
"BAMUSUUTA", 7,"NABBALE"
"BAMUSUUTA WARD", 33,"KIBOGA TOWN COUNCIL"
"BANANYWA", 30,"NSAMBYA"
"BANDA", 1,"NAKAWA DIVISION"
"BANDILI", 28,"RHINO CAMP"
"BANGATUTI", 53,"ODRAVU"
"BANGLADESH", 25,"NAMASALE"
"BANGO", 11,"OLEBA"
"BANYA", 20,"INOMO"
"BAR", 12,"ABOK"
"BAR-AKALO", 9,"AKALO"
"BAR-APWO", 7,"LIRA"
"BAR-DEGE", 14,"BAR-DEGE"
"BAR-OGOLE", 10,"OJWINA"
"BAR-PII", 17,"AROMO"
"BARAHIIJA", 17,"KYARUSOZI"
"BARATUKU", 46,"ITIRIKWA"
"BARAWA WARD", 1,"KAPCHORWA TOWN COUNCIL"
"BARDAGO", 39,"AKURA"
"BARDEGE", 55,"BATTA"
"BARDYANG", 5,"ADOK"
"BARIA", 5,"NYADRI"
"BARIA WARD", 43,"MARACHA TOWN COUNCIL"
"BARINGA", 23,"ROMOGI"
"BARINYANGA", 21,"PAYA"
"BARLELA", 56,"BATTA"
"BARLYECH", 24,"LOTUKEI"
"BAROCOK", 19,"OKWANG"
"BARODILO", 17,"CHEGERE"
"BARODUGU WARD", 24,"OTUKE TOWN COUNCIL"
"BARONGER", 14,"RAILWAYS"
"BARONGIN", 30,"ALITO"
"BARRIO", 29,"ABOK"
"BARROGANDA", 25,"AGWENG"
"BASAAR", 2,"ARUA HILL"
"BASAR", 43,"TEGERES"
"BASE CAMP WARD", 5,"CENTRAL DIVISION"
"BATALIKA", 35,"BUFUNJO"
"BAZAAR", 5,"SOUTHERN DIVISION"
"BAZAAR WARD", 20,"KUMI TOWN COUNCIL"
"BBAALE", 1,"BBAALE"
"BBALE", 12,"KIBANDA"
"BBALE MUKWENDA", 11,"KIZIBA(MASULIITA)"
"BBANDA", 12,"MENDE"
"BBEMBE", 22,"NAMAYUMBA"
"BBETA", 6,"MUGOYE"
"BBINGA", 28,"SSI"
"BBINZI/TTABA", 28,"MPENJA"
"BBIRA", 1,"MAKOKOTO"
"BBULIRO", 16,"KYESIIGA"
"BESIA WARD", 10,"MOYO TOWN COUNCIL"
"BETHELEHEM", 33,"NABIGASA"
"BHAMBA WARD", 27,"NYAHUKA TOWN COUNCIL"
"BIAFRA WARD", 6,"KAABONG TOWN COUNCIL"
"BIBBO", 1,"KAWOLO"
"BIBIA", 6,"ATIAK"
"BIDDUKU", 24,"KINONI"
"BIDIBIDI", 54,"ROMOGI"
"BIGAAGA", 13,"BUTANDA"
"BIGADA", 1,"KAKUUTO"
"BIGANDO", 1,"MIIRYA"
"BIGANDO WARD", 1,"KIGULYA DIVISION"
"BIGODI", 5,"BUSIRIBA"
"BIGULI", 1,"BIGULI"
"BIGUNGIRO", 18,"NYAMWEERU"
"BIGUTSYO", 22,"BUREMBA"
"BIHANGA", 21,"NKOMA"
"BIHARWE", 45,"BIHARWE"
"BIHARWE TOWN BOARD", 48,"BIHARWE"
"BIHOMBORWA WARD", 7,"KIHIIHI TOWN COUNCIL"
"BIISA", 35,"SIGULU ISLANDS"
"BIISO", 1,"BIISO"
"BIJAABA", 1,"KYAZANGA"
"BIJENGYE", 10,"KYABUGIMBI"
"BIJUBWE", 14,"NYAKASHASHARA"
"BIKKO", 12,"MUWANGA"
"BIKONE", 15,"MALIBA"
"BIKONGOZO", 22,"NYAKISHENYI"
"BIKONZI", 7,"BWIJANGA"
"BIKUNGU", 35,"MUTARA"
"BIKUNYA", 11,"KARAMBI"
"BIKURUNGU", 13,"BWAMBARA"
"BILEWU WARD", 55,"YUMBE TOWN COUNCIL"
"BIMARA WARD", 34,"BUNDIBUGYO TOWN COUNCIL"
"BINGO", 20,"NAWANJOFU"
"BINIKIRA", 28,"MPASAANA"
"BINUNDA", 18,"KYARUSOZI"
"BINUNDA WARD", 47,"KYARUSOZI TOWN COUNCIL"
"BINYA", 19,"ODEK"
"BINYINYI TOWN BOARD", 28,"BINYINY"
"BIRAMBO", 20,"MAZIBA"
"BIRONGO", 10,"ISHONGORORO"
"BIRUNGU", 23,"KITOBA"
"BISANJE", 1,"KABONERA"
"BISHO", 32,"CHESOWER"
"BISHOZI", 46,"ENGARI"
"BISINA", 17,"NGARIAM"
"BISON/MAGURIA", 6,"TORORO WESTERN"
"BISOZI", 22,"NKOMA"
"BISYA", 23,"RUBINDI"
"BITABAGO", 28,"LWANDA"
"BITOOMA", 6,"BITOOMA"
"BITSYA", 9,"BITSYA"
"BIWOLOBO", 12,"LYANTONDE"
"BIYAYA WARD", 15,"ADJUMANI TOWN COUNCIL"
"BLUE CORNER", 1,"OJWINA"
"BOBI ABAKADYAK", 20,"PADIBE WEST"
"BOKE", 5,"ADEKOKWOK"
"BOLISO", 49,"PUTI-PUTI"
"BOLISO I", 23,"PUTI-PUTI"
"BOLISO II", 38,"KAMUGE"
"BOLO", 11,"AWERE"
"BOMA", 9,"WANALE BOROUGH"
"BOMA NORTH", 1,"NORTH DIVISION"
